"Client ID",Name,Age,"Location ID","Joined Bank","Banking Contact",Nationality,Occupation,"Fee Structure","Loyalty Classification","Estimated Income","Superannuation Savings","Amount of Credit Cards","Credit Card Balance","Bank Loans","Bank Deposits","Checking Accounts","Saving Accounts","Foreign Currency Account","Business Lending","Properties Owned","Risk Weighting",Gender,InvestmentAdvisor,BankingRelationship,High_Potential_Lead
IND49172,"Jean Cooper",41,37801,22/01/15,"Benjamin Kim",African,"Graphic designer",Low,Silver,492748.51,45816.45,1,2956.47,592003.55,398694.71,381105.24,166220.51,25316.24,152034.65,0,5,Female,"Daniel Carroll",Institutional,No
IND34576,"Patrick Howard",48,12878,01/10/11,"Steve Diaz",Asian,"Web designer ii",Mid,Jade,133624.84,18375.55,1,1359.27,573098.95,292189.21,180469.81,171961.94,13279.72,264524,1,2,Male,"Carl Anderson",Institutional,No
IND75884,"Samuel Gomez",59,16449,13/09/13,"Patrick Graham",European,"Account representative iii",Low,Silver,229363.28,10728.7,2,2386.75,1459530.8,156752.09,93163.98,57451.12,74635.24,2055429.68,2,4,Male,"Nicholas Ward","Private Bank",No
IND41393,"Barbara Smith",66,43140,30/09/02,"Mark Montgomery",Australian,"Quality engineer",High,Silver,82926.45,51430.5,2,6875.06,1387659.87,0,0,0,26394.71,1720882.44,0,4,Male,"Fred Bryant","Private Bank",No
IND67868,"Philip Robinson",71,32461,07/05/01,"Joshua Ryan",Asian,Teacher,High,Jade,142846.08,27466.8,2,1542.69,261710.5,177967.69,201307.72,88633.74,2871.27,395005.87,0,2,Male,"Ryan Taylor","Private Bank",No
IND82789,"Charles Kelly",76,5401,16/12/10,"Paul Holmes",Asian,"Administrative assistant iv",High,Silver,436829.84,38715.6,2,2030.11,1200919.78,163502.98,173721.91,34029.06,57285.31,436274.5,3,3,Female,"Sean Vasquez","Private Bank",No
IND77478,"Ashley Greene",53,33467,11/01/12,"Keith Griffin",European,"Social worker",High,Gold,157640.31,21154.76,2,790.08,937720.91,875102.82,216967.64,536633.3,44400.56,348364.76,2,2,Female,"Nicholas Morrison","Private Bank",Yes
IND57043,"Richard Knight",69,19161,05/06/99,"Jesse Evans",American,Professor,Low,Jade,243163.98,18336,1,758.48,425661.24,1860597.15,361782.78,818662.75,52488.81,2249791.49,3,2,Male,"Jack Phillips","Private Bank",No
IND68936,"Thomas Hernandez",51,34019,12/11/15,"Nicholas Simmons",European,"Accountant iv",High,Jade,75434.29,20579.97,1,161.12,452704.1,92375.97,49267.19,38322.83,19550.18,799505.79,3,1,Female,"Juan Ramirez","Private Bank",No
IND44846,"Jessica Thompson",47,5865,12/04/15,"Paul Holmes",European,"Geological engineer",High,Platinum,317895.34,37634.02,1,1540.11,378614.22,677452.1,512928.02,354791.34,19883.67,994680.55,0,3,Male,"Gregory Boyd",Commercial,Yes
IND55021,"Brandon Morrison",75,27514,18/12/20,"Dennis Ruiz",European,"Tax accountant",High,Jade,77686.01,13902.21,1,8330.96,1316597.15,952781.82,274963.88,313458.83,26215.07,584240.31,2,2,Male,"Victor Dean",Commercial,No
IND30407,"Stephanie Oliver",81,18184,03/06/18,"Stephen Payne",Australian,"Account representative i",High,Silver,141027.44,30446.57,1,775.67,866004.94,309035.87,244511.9,61807.17,1484.08,1012817.01,2,3,Female,"Jeremy Porter",Retail,No
IND15466,"Karen Meyer",76,17561,20/12/20,"Jonathan Hawkins",Asian,"Associate professor",Low,Jade,121206.49,24852.28,2,3497.84,542515.31,1065754.43,714682.38,280356.11,41697.7,546214.17,2,4,Male,"Ernest Knight",Institutional,No
IND15083,"Frank Ferguson",82,37501,02/03/07,"Joshua Bennett",European,"Cost accountant",High,Gold,140152.04,33774.78,1,7373.11,1208729.22,572741.07,123033.27,156634.08,1415.23,2288946.11,2,3,Male,"Eric Shaw","Private Bank",No
IND78066,"Linda Long",76,16198,19/11/00,"Jesse Evans",American,"Biostatistician i",Low,Jade,96486.38,15747,3,1159.31,522574.25,390366.08,327276.61,71054.51,5956.46,166342.01,1,1,Male,"Steve Sanchez",Retail,No
IND87900,"Joan Martinez",22,14466,10/08/19,"Patrick Graham",European,"Senior editor",Low,Jade,17987.51,12029.58,2,464.78,197326.48,201141.12,224960.46,45653.74,3402.01,367428.04,1,1,Female,"Lawrence Sanchez",Retail,No
IND47950,"Justin Hart",52,41420,02/05/19,"Douglas Tucker",European,"Office assistant iii",Mid,Jade,302672.57,57277.4,1,11512.75,1580709.52,205369.67,115957.02,19000.19,7278.56,3063954.52,1,5,Male,"Peter Castillo",Retail,No
IND84355,"Brandon Davis",59,11844,14/04/01,"Nicholas Simmons",European,"Administrative officer",High,Silver,155402.53,12356.99,2,2494.44,456252.74,334449.4,162936.89,137667.38,38971.31,643943.04,0,1,Male,"Victor Gutierrez",Institutional,Yes
IND45102,"Lisa Alexander",21,30740,31/12/96,"Paul Holmes",American,"Physical therapy assistant",High,Jade,43815.12,18123.56,1,2300.84,292482.63,375603.21,165100.31,193167.36,1639.38,254205.81,0,1,Male,"Daniel Carroll",Institutional,No
IND67109,"Terry Watson",56,19730,23/01/15,"Douglas Tucker",African,"Computer systems analyst iii",Mid,Jade,86558.08,29076.8,1,2170.28,817889.66,175002.72,80653.43,69377.17,32342.6,166400.4,3,1,Female,"Victor Dean","Private Bank",No
IND85846,"Johnny Torres",28,18570,30/10/05,"Shawn Long",European,Professor,Mid,Jade,57359.09,9176.4,1,645.54,788268.61,172941.29,93817.82,21713.74,5011.18,359030.72,2,1,Male,"Jeremy Porter","Private Bank",No
IND76900,"Jose Fox",70,31088,15/10/04,"Jason Duncan",European,"Web developer iii",Low,Gold,384040.15,12587.12,2,9060.28,276335.09,549058.65,328408.91,193966.51,82736.26,2431103.98,0,4,Male,"Ernest Knight","Private Bank",No
IND87656,"Carolyn Rose",27,28760,30/09/96,"Nicholas Simmons",Australian,"Food chemist",High,Silver,159512.38,6399.12,1,2280.38,358797.5,385891.92,264739.81,211567.49,10801.22,683194.37,1,1,Female,"Eric Shaw","Private Bank",Yes
IND76306,"Louis James",21,3257,30/06/18,"Patrick Graham",Australian,"Developer iv",Low,Jade,61901.37,3418.72,1,3705.89,496453.44,616815,253485.61,177439.93,10925.59,1287514.29,0,2,Female,"Kevin Kim","Private Bank",No
IND42135,"Kevin Kelley",30,1037,04/05/13,"Victor Ramos",European,"Environmental tech",High,Jade,84406.75,15039,2,1801.68,82289.14,357419.79,137469.15,240571.01,3804.49,257335.65,0,2,Female,"Victor Rogers",Commercial,No
IND15894,"Kevin Medina",43,35162,30/08/17,"Bruce Porter",Asian,"Human resources assistant iv",Mid,Jade,343263.8,34554.55,1,479.43,400443.08,380432.81,121933.59,190216.41,8338.29,519790.46,2,3,Male,"Eugene Cunningham",Commercial,Yes
IND69783,"Judith Greene",26,23006,04/06/99,"Joshua Little",Australian,"Legal assistant",High,Gold,39080.45,20456.92,2,3261.39,236826.23,118416.32,82084.04,51955.16,33963.64,167237.88,2,2,Female,"Steve Sanchez",Institutional,No
IND67788,"Shirley Henry",40,26807,22/11/09,"Gregory Simmons",American,"Computer systems analyst ii",Mid,Silver,35113.5,37779.5,2,391.75,404231,207152.25,314871.42,97444.42,2637.25,602095.75,2,2,Male,"Lawrence Sanchez","Private Bank",No
IND29999,"Jerry Oliver",19,17244,03/03/20,"Todd Roberts",Asian,"Speech pathologist",High,Silver,141689.81,47517.47,3,8732.91,775554.87,1838008.12,835458.24,362031.9,63127.59,2498273.59,0,3,Female,"Peter Castillo",Commercial,No
IND64905,"Angela Pierce",31,9146,04/02/18,"Jason Duncan",Asian,Paralegal,High,Gold,467025.8,61694.34,1,1953,1176441.07,1076630.5,578688.89,728744.27,70580.3,1186496.23,3,5,Female,"Daniel Carroll",Retail,No
IND50588,"Nicholas Watson",68,15326,08/08/14,"Gregory Simmons",European,"Data coordiator",High,Silver,59563.84,8380.4,1,3084.29,238085.63,925053.09,260171.18,383897.03,19083.78,1244783.62,3,1,Male,"Carl Anderson",Retail,No
IND24058,"Barbara Harper",41,4853,03/01/00,"Steve Diaz",Asian,"Budget/accounting analyst iv",High,Gold,304960.67,53267.68,2,4115.74,1029192.08,437621.19,256054.95,125699.7,32226.87,1302186.45,1,2,Female,"Nicholas Ward",Institutional,Yes
IND90735,"Jerry Graham",80,41318,29/07/14,"Victor Ramos",European,"Staff accountant iv",Mid,Jade,109051.93,20070.28,1,2548.47,314437.29,250159.57,73910.78,135256.73,38508.39,408638.42,0,1,Male,"Ryan Taylor","Private Bank",No
IND18126,"Susan Thompson",63,1454,05/03/21,"Roger Alexander",Asian,"Research assistant iii",Mid,Silver,76166.25,4898.79,1,267.87,1364588.66,61344.46,44443.44,9802.6,71470.27,1595668.78,0,3,Male,"Sean Vasquez","Private Bank",No
IND95672,"Kenneth Freeman",55,26233,08/06/06,"Victor Ramos",European,"Systems administrator i",Mid,Silver,62219.79,47300.66,3,3792.74,471715.32,386699.09,526710.83,170814.32,30641.89,527962.84,3,2,Male,"Nicholas Morrison","Private Bank",No
IND59778,"Lillian Nelson",79,38454,03/02/10,"Raymond Alexander",African,Professor,High,Silver,155343.56,60272.1,2,1152.71,565486.31,114149.55,90118.07,27335.81,61536.92,1850387.41,0,3,Female,"Jack Phillips","Private Bank",No
IND74622,"Richard Edwards",49,32157,07/08/05,"Victor Martinez",Asian,"Safety technician i",High,Jade,347462.05,42715.2,1,2469.83,160930.65,495285.81,381427,193503.04,53395.24,464353.24,1,4,Male,"Juan Ramirez","Private Bank",No
IND40781,"Phillip GoPKRales",81,611,02/12/21,"Jerry Green",Asian,"Mechanical systems engineer",High,Jade,94766.64,7822.8,1,4469.98,1202896.82,1009283.79,205010.77,431784.22,13635.16,1336414.08,3,2,Male,"Gregory Boyd","Private Bank",No
IND39173,"Eugene Austin",40,37837,28/07/07,"Adam Hernandez",European,"Data coordiator",High,Silver,354296.33,10313.28,1,1654.13,403093.76,866009.64,546410.84,353723.7,28919.12,1267574.31,1,2,Female,"Victor Dean","Private Bank",Yes
IND41835,"Joseph Burns",31,30634,29/05/03,"Mark Montgomery",African,"Staff accountant iv",High,Jade,373681.17,48392.1,1,12379.01,742802.94,469244.54,153014.52,140263.31,105409.78,2991211.69,2,4,Male,"Jeremy Porter",Commercial,No
IND13004,"Ralph West",83,28861,28/12/14,"Shawn Cook",European,"Web designer iii",High,Jade,358008,16942.5,1,4027.82,568206.05,424237.27,507799.15,67492.29,28909.49,695986.83,1,3,Female,"Ernest Knight",Commercial,No
IND69109,"Cheryl Gordon",49,14875,03/08/08,"Victor Ramos",American,"Geological engineer",High,Gold,317479.68,49484.82,1,2589.71,119431.69,859290.28,478213.72,266305.26,51445.78,676196.14,0,2,Female,"Eric Shaw",Retail,Yes
IND95810,"Jimmy Andrews",75,36140,13/07/02,"Paul Holmes",American,"Administrative assistant i",High,Gold,220526.63,31535.25,1,88.03,294138.47,1100759.21,275189.8,525118.59,68948.57,869131.65,3,2,Female,"Joe Carroll",Institutional,No
IND81099,"Denise Hayes",48,10026,16/02/99,"Mark Montgomery",European,"Accountant ii",High,Jade,312028.6,28002.51,1,4229.79,343720.88,612080.1,338254.79,509154,43799.94,991953.22,1,3,Female,"Steve Sanchez","Private Bank",Yes
IND55460,"Mildred Hall",39,6553,22/09/96,"Victor Martinez",American,"Human resources manager",Mid,Jade,256652.08,21247.05,1,2448.02,857452.21,342515.25,187830.94,317213.32,21356.26,670331.46,1,3,Female,"Peter Castillo",Retail,Yes
IND64186,"Timothy Austin",25,6819,23/05/08,"Phillip Peters",European,"Geologist i",Mid,Silver,155456.35,56270.88,2,11374.73,850612.73,2918088.55,1266340.31,534799.37,96425.36,426597.13,3,2,Female,"Victor Gutierrez",Retail,Yes
IND65738,"John Torres",41,11470,25/07/95,"George Lewis",European,"Help desk operator",Mid,Jade,110274.57,17670.6,1,2629.15,488286.58,660940.82,468166.41,79312.9,35583.41,734974.13,1,1,Female,"Daniel Carroll",Retail,No
IND38016,"Todd Russell",48,10983,29/08/13,"Ernest Rivera",Asian,"Design engineer",Mid,Platinum,75703.68,30983.2,1,1499.65,462891.04,1781157.8,1274449.12,187942.86,72572.38,2054733.06,2,3,Female,"Carl Anderson",Institutional,No
IND97456,"Robert Sanchez",64,12707,03/11/18,"Jeremy Vasquez",European,"Research associate",High,Platinum,184290.87,36991.36,1,2351.04,386783.04,489242.88,241359.82,104306.58,18244.8,287864.64,0,2,Female,"Nicholas Ward",Institutional,No
IND94167,"Larry Phillips",60,14880,01/01/20,"Carl Nguyen",European,"Financial analyst",High,Gold,302653.21,32413.44,1,6911.62,1027643.33,605550.52,208995.31,392268.12,35796.95,224344.6,2,2,Male,"Victor Dean","Private Bank",Yes
IND54473,"Lawrence Mitchell",44,5299,20/01/99,"Victor Ramos",European,"Computer systems analyst iv",High,Gold,211242.43,28260.6,1,2778.24,616290.21,696707.01,443359,396851.55,44530.06,1336291.03,0,5,Male,"Jeremy Porter","Private Bank",No
IND32547,"Wayne Hart",17,29676,30/05/21,"Adam Hernandez",Asian,"Help desk technician",High,Jade,123939.66,43769.35,1,1731.52,1876810.69,3498983.55,941105.92,986230.74,94340.84,2627767.21,1,5,Female,"Ernest Knight","Private Bank",No
IND78611,"Peter Porter",40,10300,02/06/12,"Roger Alexander",Asian,"Chief design engineer",Mid,Platinum,52433.52,15258.24,1,1205.98,184632.03,46784.32,55657.21,26755.79,1485.82,279016.73,1,1,Female,"Eric Shaw","Private Bank",No
IND15581,"Jonathan Hunter",35,28131,26/09/10,"Douglas Tucker",Australian,"Financial advisor",Mid,Silver,352957.97,64102.72,1,4321.77,882153.62,469038.88,161013.35,98288.15,18318.87,2186957.29,2,4,Female,"Victor Rogers","Private Bank",No
IND29679,"Lawrence Harrison",33,19132,29/09/13,"Gregory Simmons",American,"Software engineer iii",High,Gold,274096.63,11739.91,2,4556.65,290026.74,484808.7,239256.24,249833.89,59326.17,480522.54,3,4,Male,"Eugene Cunningham","Private Bank",No
IND30445,"Beverly Carter",37,9034,09/10/04,"James Castillo",Australian,"Junior executive",High,Silver,271874.74,22229.62,1,5568.79,999814.28,941401.35,460468.05,365816.29,33233.14,433363.69,3,2,Male,"Joe Carroll",Commercial,Yes
IND90272,"Betty Meyer",45,28631,24/04/09,"Dennis Ruiz",Asian,"Database administrator iii",High,Gold,175522.51,63412.96,1,4634.56,938338.98,1065811.13,317475.66,955148.19,66724.53,250774.57,3,4,Male,"Steve Sanchez",Commercial,No
IND25035,"Carlos King",65,20905,20/10/21,"Victor Ramos",Asian,"Research associate",Mid,Jade,268391.4,42700.95,3,4490.67,1176709.84,1827640.07,609213.36,649827.58,23319.15,1900317.77,1,5,Female,"Lawrence Sanchez",Retail,No
IND25593,"Anna Reed",56,7445,17/02/15,"Phillip Peters",American,"Systems administrator iv",Mid,Gold,147925.26,70885.8,2,4771.44,1070645.76,699992.06,533743.95,208160.14,32094,1732155.84,1,4,Female,"Peter Castillo",Institutional,No
IND79190,"Annie James",63,24920,14/09/00,"James Castillo",Asian,"Research assistant i",High,Jade,60986.65,24094.8,1,2322.57,668879.54,1073972.86,772506.79,181444.89,33764.54,310784.09,2,2,Male,"Victor Gutierrez","Private Bank",No
IND31341,"Joseph Kennedy",45,5971,02/10/00,"Frank Brown",Asian,"Budget/accounting analyst iii",Low,Gold,204585.56,53799.56,3,43.68,350035.96,359180.23,216492.19,181853.44,27853,226370.31,0,2,Female,"Daniel Carroll",Commercial,No
IND49233,"Kenneth Perkins",48,24729,04/08/05,"Raymond Alexander",American,"Computer systems analyst i",High,Jade,294392.38,29599.72,1,125.19,533201.82,243942.32,197677.39,180559.37,28223.1,1004235.85,3,3,Female,"Carl Anderson",Retail,Yes
IND82834,"Brandon George",37,25799,02/12/20,"Roy Rice",European,"Analog circuit design manager",High,Jade,165050.63,13828.65,1,6542.43,243394.58,2069961.1,680725.46,786446.29,79502.08,1209823.83,1,4,Male,"Nicholas Ward",Retail,No
IND64549,"Roger Hunter",77,21326,12/09/13,"Joshua Bennett",European,"Human resources manager",Low,Gold,295482.46,53716.96,1,2226.59,274761.43,116494.45,124010.22,60689.85,175.14,564437.39,3,4,Female,"Fred Bryant",Retail,No
IND63160,"Clarence Baker",84,3296,11/03/02,"Shawn Wallace",Australian,"Web designer iv",Mid,Jade,93650.66,8067.48,1,7483.6,1489763.76,385805.43,246662.49,64701.47,23952.58,1116161.14,1,2,Female,"Ryan Taylor",Institutional,No
IND99412,"Robert Lane",55,40601,09/03/96,"Donald Reynolds",European,"Database administrator iii",High,Jade,77959.98,5382.4,2,2690.25,671360.68,2253058.98,952635.68,699355.56,60745.48,2207401.86,0,2,Female,"Sean Vasquez",Institutional,No
IND41977,"Billy Gutierrez",75,8858,26/11/17,"Chris Armstrong",Australian,"Human resources assistant iii",Mid,Silver,116049.97,43763.58,2,646.38,278395.58,170837.1,66057.01,121294.34,5379.89,974568.11,1,2,Female,"Nicholas Morrison","Private Bank",No
IND58104,"Douglas West",76,30088,05/11/03,"Dennis Ruiz",European,"Speech pathologist",Low,Platinum,355665.19,33963.75,1,5924.1,985822.43,1218185.05,435066.09,719102.09,69306.83,1015033.53,1,3,Female,"Gregory Boyd","Private Bank",No
IND42259,"Jeremy Sullivan",32,9576,12/01/09,"Samuel Fowler",European,"Database administrator iii",High,Gold,311721.03,14891.4,1,5528.02,1453594.9,859353.81,479255.01,260285.05,71447.69,1468403.35,0,4,Male,"Victor Dean","Private Bank",No
IND96983,"Roger Williams",22,5388,25/01/13,"Shawn Wallace",Asian,"Project manager",Low,Jade,57955.11,14284.58,1,2026.86,569742.42,1100932.88,260961.87,682089.08,33544.56,230177.46,3,1,Male,"Jeremy Porter","Private Bank",No
IND15092,"Eric Mendoza",77,6407,16/12/01,"Dennis Ruiz",American,Editor,Mid,Silver,210595.73,28588.56,1,8276.84,784128.83,2080505.71,703269.54,396175.17,30445.03,299258.01,1,4,Female,"Ernest Knight","Private Bank",No
IND52181,"Nicholas Mitchell",73,13585,29/11/16,"George Lewis",Asian,"Food chemist",High,Jade,439388.92,46346.7,1,855.65,1428253.22,1051950.53,400198.57,624309.77,21641.11,1061775.4,1,5,Female,"Eric Shaw",Commercial,No
IND14614,"Robert Washington",65,34530,18/08/18,"Shawn Cook",European,"Staff accountant ii",Mid,Jade,130987.36,41223.7,1,4484.26,529607.93,589706.09,631234.69,101662.01,49008.52,544902.07,2,5,Male,"Joe Carroll",Commercial,No
IND75661,"Karen Bradley",78,15030,16/09/08,"Victor Martinez",Asian,"Database administrator ii",Low,Jade,169936.36,7795.8,1,3232.52,994804.79,638808.87,453108.61,301280.09,41118.41,434504.79,2,2,Male,"Steve Sanchez",Retail,No
IND63878,"Lillian Garrett",81,38395,31/03/03,"Mark Montgomery",Asian,"Media manager iii",High,Silver,440439.33,36666.96,1,3399.18,1250526.42,1169638.99,406295.65,775409.09,53226.45,211540.6,2,4,Male,"Lawrence Sanchez",Institutional,No
IND60682,"Ralph Cole",46,5940,07/08/00,"Bobby Burton",European,"Health coach iii",High,Silver,407606.87,31157.8,1,4901.79,994316.57,302004.93,274549.94,166560.29,49432.85,914353.65,1,4,Female,"Peter Castillo","Private Bank",No
IND71119,"Bobby Gardner",71,20204,12/06/02,"Nicholas Simmons",American,"Staff scientist",Mid,Silver,116733.05,45004.7,2,7012.68,1369673.32,418166.68,226802.27,127576.28,34458.24,401783.75,1,2,Male,"Victor Gutierrez",Commercial,No
IND31796,"Heather Welch",26,7151,18/06/13,"Joshua Bennett",European,"Account executive",High,Jade,67276.78,38611.96,1,1563.05,529250.59,135237.78,88680.51,87793.71,29212,614445.39,2,2,Male,"Daniel Carroll",Retail,No
IND15290,"Chris Nelson",79,8593,13/11/17,"Bobby Burton",Asian,"Database administrator ii",Low,Silver,227427.3,24462.81,2,264.77,915680.57,96740.84,55088.54,41222.35,41414.78,418918.39,0,3,Female,"Carl Anderson",Retail,No
IND69222,"Ernest Reynolds",56,6287,25/07/13,"Frank Brown",Asian,"Accounting assistant i",High,Silver,51486.64,3271.8,1,649.25,772340.31,412699.06,114638.63,210771.31,17877.91,232139.96,1,1,Male,"Nicholas Ward",Retail,No
IND41761,"Jacqueline Watkins",45,36961,18/07/18,"James Castillo",Asian,"Civil engineer",High,Jade,145733.44,42675,2,6157.46,1213139.81,801883.53,328390.4,326481.15,12662.21,1490464.24,1,3,Male,"Victor Dean",Institutional,No
IND65488,"Bonnie Simpson",41,1066,07/05/20,"Jonathan Hawkins",American,"Accountant ii",Low,Silver,91981.56,8266.7,2,54.42,0,202898,130434.43,153043.07,11058.87,302676.56,1,1,Female,"Jeremy Porter",Institutional,No
IND99221,"Alan Kennedy",39,35244,31/10/21,"Ernest Rivera",European,"Research assistant ii",High,Jade,221101.24,42077.04,2,9935.62,1179223.36,137423.97,25767,75153.74,1963.84,1599843.07,3,2,Male,"Ernest Knight","Private Bank",Yes
IND71359,"Wayne Woods",51,42096,06/05/03,"Jonathan Hawkins",Australian,"Staff accountant iii",High,Silver,56751.75,44945.22,1,5764.83,916908.53,118377.03,76596.9,39853.6,63313.14,1774345.25,0,2,Male,"Eric Shaw","Private Bank",No
IND82515,"Emily Sullivan",43,26789,11/09/19,"Patrick Graham",European,"Administrative officer",Low,Silver,217040.02,46771.27,1,558.29,232807.12,281401.58,151956.85,451930.93,28197.72,996154.25,0,4,Male,"Kevin Kim","Private Bank",No
IND68750,"Virginia Scott",61,35370,03/02/20,"Joshua Little",European,"Programmer iv",Mid,Gold,81243.91,13675.96,1,3895.87,766963.09,444257.95,390080.15,148663.88,34909.79,656503.02,0,2,Male,"Eugene Cunningham","Private Bank",No
IND91822,"Joshua Allen",58,7210,11/08/18,"Ernest Rivera",European,"Technical writer",High,Platinum,184460.64,5971.84,2,3397.78,1177332.92,77019.89,31271.23,31433.38,47875.74,1890384.33,2,2,Female,"Joe Carroll","Private Bank",No
IND80931,"Juan Griffin",25,28963,28/11/15,"Paul Larson",Asian,Actuary,Mid,Gold,91923.17,1662.84,1,3999.36,328211.76,563246.33,190285.92,207411.66,8284.09,208974.22,2,1,Female,"Steve Sanchez","Private Bank",No
IND20616,"Gerald Harrison",38,19066,28/09/09,"Stephen Payne",American,"Accountant ii",Mid,Jade,342649.03,54620.02,1,1371.63,2012623.19,2603230.63,886206.17,547232.31,56366.58,1928415.9,0,4,Female,"Lawrence Sanchez",Commercial,No
IND59654,"Mark Rose",60,20907,12/03/20,"Jerry Green",Australian,"Database administrator i",High,Gold,153118.31,7345.65,1,386.7,476536.81,31217.84,20811.89,21988.22,10093.4,375326.96,2,1,Male,"Peter Castillo",Commercial,No
IND56699,"Paul Bell",45,31169,12/04/18,"Donald Reynolds",European,"Statistician iv",High,Jade,124830.45,17836.56,1,843.7,66111.39,357447.81,213315.63,319627.53,25951.12,853225.95,0,2,Female,"Victor Gutierrez","Private Bank",No
IND45574,"Janice Foster",55,26217,02/03/05,"Ernest Rivera",European,"Technical writer",Low,Jade,80104.87,31921.26,1,7.5,215709.9,38471.76,64119.59,8825.87,14874.69,465264.25,0,1,Female,"Daniel Carroll",Retail,No
IND46000,"Ralph Ford",62,4234,05/01/02,"Roger Alexander",Asian,Recruiter,Mid,Gold,95522.36,25063.35,1,1245.56,270996.64,171005.23,158050.29,79828.35,11632.42,660230.49,3,1,Female,"Carl Anderson",Institutional,No
IND72516,"Beverly Stewart",80,15353,27/05/07,"Shawn Wallace",American,"Media manager i",High,Jade,35717.95,25180.61,1,4212.42,0,561513.29,197455.22,427984.19,29525.71,914946.67,2,2,Female,"Nicholas Ward","Private Bank",No
IND35302,"Jessica Black",78,35348,31/05/15,"Joe Hanson",European,"Product engineer",High,Jade,209541,20205.12,1,988.85,69727.06,349744.28,394711.4,72397.07,3322.37,503201.66,0,2,Female,"Fred Bryant",Commercial,No
IND80068,"Ronald Hill",43,18605,23/08/19,"Donald Reynolds",European,"Geologist iii",Mid,Jade,229059.97,35876.79,1,10358.07,664298.72,2093007.37,582862.81,801171.43,47743.3,1631733.39,3,4,Female,"Ryan Taylor",Retail,No
IND53480,"Jack Palmer",61,23141,12/06/02,"Jesse Evans",African,"Project manager",High,Jade,116813.48,35734.4,1,8294.26,1512494.37,455464.41,233971.44,66291.91,10038.52,1088475.48,1,2,Female,"Sean Vasquez",Retail,No
IND88872,"Annie Morrison",72,24630,06/01/18,"Jeremy Vasquez",Asian,"Programmer analyst i",High,Gold,255097.36,45422.37,2,1845.77,841410.8,98999.73,27789.4,68500.87,33799.21,1198593.93,2,2,Female,"Nicholas Morrison",Retail,No
IND66621,"Paul Wallace",81,37219,02/05/09,"Anthony Berry",European,Professor,Low,Silver,130296.27,7269.84,3,746.46,805317.55,581539.75,143148.25,292022.42,37479.78,856988.5,0,1,Female,"Jack Phillips",Institutional,No
IND29174,"Jerry Jackson",49,21473,02/10/20,"Stephen Payne",American,"Account coordinator",High,Gold,65006.54,43491.8,1,3575.55,346892.24,262181.5,127118.3,172880.89,34090.78,96305.35,2,2,Female,"Juan Ramirez",Institutional,No
IND98830,"Kevin Walker",83,43305,05/09/20,"Jonathan Hawkins",European,"Account executive",High,Gold,152311.98,14530.06,1,2509.62,342021,244910.01,109895.52,253073.68,26021.55,753600.85,1,1,Female,"Gregory Boyd","Private Bank",No
IND34318,"Nancy Black",40,18785,30/10/20,"Bruce Butler",European,"Engineer iv",High,Jade,185421.5,32352,1,1106.13,259398.71,92897.5,50830.7,84624.36,4548.42,586872.31,1,2,Female,"Victor Dean","Private Bank",No
IND95108,"Henry Little",25,31766,18/07/06,"Victor Martinez",Asian,"Database administrator i",Mid,Jade,54339.87,23045.2,3,2819.83,870569.31,982426.14,438956.36,311937.72,28292.75,282071.77,2,1,Female,"Jeremy Porter","Private Bank",No
IND86574,"Carlos Anderson",54,3316,22/08/99,"Stephen Payne",Asian,"Web designer i",High,Platinum,181040.17,44591.61,1,6249.78,1164820.92,1128622.56,626097.18,225394.99,7572.96,580150.86,2,2,Female,"Eric Shaw","Private Bank",Yes
IND25843,"Carolyn Snyder",67,11279,03/06/13,"Joe Price",European,"Nuclear power engineer",High,Jade,182458.47,4511.56,2,2241.62,548946.16,351614.29,188072.76,134676.45,14156.86,1340059.22,2,2,Male,"Joe Carroll","Private Bank",No
IND15764,"Jennifer Fields",71,13846,27/10/19,"Joshua Bennett",Asian,"Office assistant iii",High,Jade,291240.72,23770.26,2,3655.52,1016372.58,426063.72,119297.84,159518.26,46176.4,1468523.42,1,2,Female,"Steve Sanchez","Private Bank",No
IND70765,"Victor Carter",48,43328,08/03/06,"Dennis Morris",American,"Office assistant iii",Mid,Gold,49043.13,4382.85,1,4305.68,617980.37,949361.04,718435.38,136844.84,6145.36,139564.53,2,2,Female,"Lawrence Sanchez",Commercial,No
IND88371,"Jose Stanley",73,14100,23/05/21,"Mark Montgomery",European,"Community outreach specialist",High,Platinum,75068.87,29197.56,1,5644.76,498253.45,75457.28,16285.74,43700.08,46587.82,1406014,2,1,Male,"Peter Castillo",Commercial,No
IND28842,"Frank Nelson",71,19003,29/08/20,"Roy Rice",Australian,"Computer systems analyst iii",High,Gold,161766.54,31767.39,2,3231.45,1212157.09,1863378.06,815227.9,543041.61,19827.76,1344797.9,2,3,Female,"Victor Gutierrez","Private Bank",No
IND90911,"Chris White",31,11394,19/02/00,"Dennis Morris",American,"Environmental specialist",High,Silver,92005.32,32561.76,1,1654.39,637776.81,321318.75,357020.84,105321.15,20584.97,578961.56,0,2,Female,"Daniel Carroll",Retail,No
IND52021,"Joseph Nichols",63,42732,02/09/20,"Roy Rice",Asian,"Programmer analyst iii",Mid,Gold,115626.26,58417.06,2,5614.88,187115.25,807585.35,741208.47,306661.18,24320.83,1336128.26,0,3,Female,"Carl Anderson",Institutional,No
